phrase,spam_count,ham_count,spam_ratio,weight,category
identifier code,15,0,1.0,1.0,general
ke recharge,15,0,1.0,1.0,general
prize claim,15,0,1.0,1.0,general
slim,15,0,1.0,1.0,general
sqft,15,0,1.0,1.0,general
talktime recharge,15,0,1.0,1.0,general
valid 12hrs,15,0,1.0,1.0,general
vouchers,15,0,1.0,1.0,general
yamuna,15,0,1.0,1.0,general
011,14,0,1.0,1.0,general
2nd attempt,14,0,1.0,1.0,general
350,14,0,1.0,1.0,general
56070,14,0,1.0,1.0,general
airtel live,14,0,1.0,1.0,general
camcorder,14,0,1.0,1.0,general
chance win,14,0,1.0,1.0,general
charged,14,0,1.0,1.0,general
dating service,14,0,1.0,1.0,general
freemsg,14,0,1.0,1.0,general
golf course,14,0,1.0,1.0,general
onwrds,14,0,1.0,1.0,general
reliance,14,0,1.0,1.0,general
residential,14,0,1.0,1.0,general
roaming,14,0,1.0,1.0,general
sauna,14,0,1.0,1.0,general
03,13,0,1.0,1.0,general
04,13,0,1.0,1.0,general
150p msg,13,0,1.0,1.0,general
2000 prize,13,0,1.0,1.0,general
2003,13,0,1.0,1.0,general
2003 account,13,0,1.0,1.0,general
2003 account statement,13,0,1.0,1.0,general
56677,13,0,1.0,1.0,general
86688,13,0,1.0,1.0,general
agni,13,0,1.0,1.0,general
apts,13,0,1.0,1.0,general
attempt contact,13,0,1.0,1.0,general
draw shows,13,0,1.0,1.0,general
draw shows won,13,0,1.0,1.0,general
free entry,13,0,1.0,1.0,general
mrp,13,0,1.0,1.0,general
muft,13,0,1.0,1.0,general
opt,13,0,1.0,1.0,general
paras,13,0,1.0,1.0,general
pay rs,13,0,1.0,1.0,general
private 2003,13,0,1.0,1.0,general
private 2003 account,13,0,1.0,1.0,general
ree,13,0,1.0,1.0,general
reply 08000930705,13,0,1.0,1.0,general
shows won,13,0,1.0,1.0,general
trying contact,13,0,1.0,1.0,general
ur cash,13,0,1.0,1.0,general
world cup,13,0,1.0,1.0,general
xprsway,13,0,1.0,1.0,general
08000839402,12,0,1.0,1.0,general
10p min,12,0,1.0,1.0,general
30000,12,0,1.0,1.0,general
4rm,12,0,1.0,1.0,general
4rm 160by2,12,0,1.0,1.0,general
50p,12,0,1.0,1.0,general
60p,12,0,1.0,1.0,general
800 redeemed,12,0,1.0,1.0,general
800 redeemed points,12,0,1.0,1.0,general
999,12,0,1.0,1.0,general
best deal,12,0,1.0,1.0,general
booking sms,12,0,1.0,1.0,general
caller prize,12,0,1.0,1.0,general
customer service,12,0,1.0,1.0,general
details sms,12,0,1.0,1.0,general
guarantee,12,0,1.0,1.0,general
hi tech,12,0,1.0,1.0,general
ipod,12,0,1.0,1.0,technical
lac onwrds,12,0,1.0,1.0,general
land line claim,12,0,1.0,1.0,general
line claim,12,0,1.0,1.0,general
mms,12,0,1.0,1.0,general
mobile number,12,0,1.0,1.0,general
mobileupd8,12,0,1.0,1.0,general
noida extn,12,0,1.0,1.0,general
payein,12,0,1.0,1.0,general
plot,12,0,1.0,1.0,general
puri,12,0,1.0,1.0,general
redeemed,12,0,1.0,1.0,general
redeemed points,12,0,1.0,1.0,general
ringtones,12,0,1.0,1.0,general
sent 4rm,12,0,1.0,1.0,general
sent 4rm 160by2,12,0,1.0,1.0,general
shows 800,12,0,1.0,1.0,general
shows 800 redeemed,12,0,1.0,1.0,general
sms ac,12,0,1.0,1.0,general
sq ft,12,0,1.0,1.0,general
08,11,0,1.0,1.0,general
160by2 com,11,0,1.0,1.0,general
29,11,0,1.0,1.0,general
30 days,11,0,1.0,1.0,general
4bhk,11,0,1.0,1.0,general
9212255555,11,0,1.0,1.0,general
arcade,11,0,1.0,1.0,general
assured,11,0,1.0,1.0,general
bonus caller,11,0,1.0,1.0,general
bonus caller prize,11,0,1.0,1.0,general
camcorder reply,11,0,1.0,1.0,general
claim ur,11,0,1.0,1.0,general
dream home,11,0,1.0,1.0,general
flats,11,0,1.0,1.0,general
ghante,11,0,1.0,1.0,general
just rs,11,0,1.0,1.0,general
karke,11,0,1.0,1.0,general
ke recharge par,11,0,1.0,1.0,general
lac al,11,0,1.0,1.0,general
launch,11,0,1.0,1.0,general
launches,11,0,1.0,1.0,general
new video,11,0,1.0,1.0,general
operator,11,0,1.0,1.0,general
pobox,11,0,1.0,1.0,general
reputed,11,0,1.0,1.0,general
rs2,11,0,1.0,1.0,general
sakte hain,11,0,1.0,1.0,general
se rs,11,0,1.0,1.0,general
snapdeal,11,0,1.0,1.0,general
snapdeal com,11,0,1.0,1.0,general
subscription,11,0,1.0,1.0,technical
tnc appl,11,0,1.0,1.0,general
tried contact,11,0,1.0,1.0,general
txt word,11,0,1.0,1.0,general
ur awarded,11,0,1.0,1.0,general
ur mob,11,0,1.0,1.0,general
ur mobile,11,0,1.0,1.0,general
video clip,11,0,1.0,1.0,technical
won 000,11,0,1.0,1.0,general
www snapdeal,11,0,1.0,1.0,general
www snapdeal com,11,0,1.0,1.0,general
123,10,0,1.0,1.0,general
15000,10,0,1.0,1.0,general
15000 se,10,0,1.0,1.0,general
15000 se rs,10,0,1.0,1.0,general
2lands,10,0,1.0,1.0,general
2lands row,10,0,1.0,1.0,general
30000 income,10,0,1.0,1.0,general
30000 income kar,10,0,1.0,1.0,general
48 ghante,10,0,1.0,1.0,general
48 ghante mein,10,0,1.0,1.0,general
55352,10,0,1.0,1.0,general
85,10,0,1.0,1.0,general
86688 150p,10,0,1.0,1.0,general
87066,10,0,1.0,1.0,general
aap hi,10,0,1.0,1.0,general
aap hi tech,10,0,1.0,1.0,general
alerts,10,0,1.0,1.0,general
best location,10,0,1.0,1.0,general
camcorder reply 08000930705,10,0,1.0,1.0,general
claim code,10,0,1.0,1.0,general
complimentary,10,0,1.0,1.0,general
course karke,10,0,1.0,1.0,general
course karke puri,10,0,1.0,1.0,general
customer services,10,0,1.0,1.0,general
dogging,10,0,1.0,1.0,general
expressway,10,0,1.0,1.0,general
ggn,10,0,1.0,1.0,general
ghante mein,10,0,1.0,1.0,general
hain har,10,0,1.0,1.0,general
hain har mahine,10,0,1.0,1.0,general
half price,10,0,1.0,1.0,general
har mahine,10,0,1.0,1.0,general
har mahine aap,10,0,1.0,1.0,general
hi tech se,10,0,1.0,1.0,general
income kar,10,0,1.0,1.0,general
income kar sakte,10,0,1.0,1.0,general
interactions,10,0,1.0,1.0,general
interactions blyk,10,0,1.0,1.0,general
interactions blyk aircel,10,0,1.0,1.0,general
international,10,0,1.0,1.0,general
jankari,10,0,1.0,1.0,general
jankari ke,10,0,1.0,1.0,general
jankari ke liye,10,0,1.0,1.0,general
ka course,10,0,1.0,1.0,general
ka course karke,10,0,1.0,1.0,general
kar sakte,10,0,1.0,1.0,general
kar sakte hain,10,0,1.0,1.0,general
karke puri,10,0,1.0,1.0,general
karke puri jankari,10,0,1.0,1.0,general
ke liye dial,10,0,1.0,1.0,general
ke liye kare,10,0,1.0,1.0,general
laptop repairing,10,0,1.0,1.0,general
laptop repairing ka,10,0,1.0,1.0,general
liye dial,10,0,1.0,1.0,general
liye dial karein,10,0,1.0,1.0,general
liye kare,10,0,1.0,1.0,general
mahine,10,0,1.0,1.0,general
mahine aap,10,0,1.0,1.0,general
mahine aap hi,10,0,1.0,1.0,general
mobile laptop,10,0,1.0,1.0,general
mobile laptop repairing,10,0,1.0,1.0,general
mobiles,10,0,1.0,1.0,general
national sms,10,0,1.0,1.0,general
network mins,10,0,1.0,1.0,general
psf,10,0,1.0,1.0,general
puri jankari,10,0,1.0,1.0,general
puri jankari ke,10,0,1.0,1.0,general
repairing,10,0,1.0,1.0,general
repairing ka,10,0,1.0,1.0,general
repairing ka course,10,0,1.0,1.0,general
reply stop,10,0,1.0,1.0,general
rs 15000,10,0,1.0,1.0,general
rs 15000 se,10,0,1.0,1.0,general
rs 30000,10,0,1.0,1.0,general
rs 30000 income,10,0,1.0,1.0,general
rs10,10,0,1.0,1.0,general
sakte hain har,10,0,1.0,1.0,general
sauna slim,10,0,1.0,1.0,general
sauna slim belt,10,0,1.0,1.0,general
se mobile,10,0,1.0,1.0,general
se mobile laptop,10,0,1.0,1.0,general
se rs 30000,10,0,1.0,1.0,general
slim belt,10,0,1.0,1.0,general
sms past,10,0,1.0,1.0,general
stop texts,10,0,1.0,1.0,general
subscribe,10,0,1.0,1.0,general
suite342,10,0,1.0,1.0,general
suite342 2lands,10,0,1.0,1.0,general
suite342 2lands row,10,0,1.0,1.0,general
tech se,10,0,1.0,1.0,general
tech se mobile,10,0,1.0,1.0,general
ts,10,0,1.0,1.0,general
txt nokia,10,0,1.0,1.0,general
urgent trying,10,0,1.0,1.0,urgency
urgent trying contact,10,0,1.0,1.0,urgency
villas,10,0,1.0,1.0,general
visit www snapdeal,10,0,1.0,1.0,general
wap,10,0,1.0,1.0,general
yes reply 24,10,0,1.0,1.0,general
www,168,2,0.9882,0.9882,general
aircel,69,1,0.9857,0.9857,general
dial,69,1,0.9857,0.9857,general
uk,58,1,0.9831,0.9831,general
18,51,1,0.9808,0.9808,general
000,41,1,0.9762,0.9762,general
music,37,1,0.9737,0.9737,general
services,32,1,0.9697,0.9697,general
std,31,1,0.9688,0.9688,general
toll,31,1,0.9688,0.9688,general
service,85,3,0.9659,0.9659,general
collection,27,1,0.9643,0.9643,general
award,26,1,0.963,0.963,general
club,26,1,0.963,0.963,general
rate,50,2,0.9615,0.9615,general
offers,25,1,0.9615,0.9615,general
video,72,3,0.96,0.96,general
entry,24,1,0.96,0.96,general
attempt,22,1,0.9565,0.9565,general
content,22,1,0.9565,0.9565,general
golf,22,1,0.9565,0.9565,general
250,21,1,0.9545,0.9545,general
games,21,1,0.9545,0.9545,general
voucher,21,1,0.9545,0.9545,general
code,40,2,0.9524,0.9524,general
booking,39,2,0.9512,0.9512,general
airtel,38,2,0.95,0.95,general
local,37,2,0.9487,0.9487,general
lac,54,3,0.9474,0.9474,general
500,49,3,0.9423,0.9423,general
16,64,4,0.9412,0.9412,general
nokia,64,4,0.9412,0.9412,general
private,16,1,0.9412,0.9412,general
winner,16,1,0.9412,0.9412,general
apply,62,4,0.9394,0.9394,general
await,15,1,0.9375,0.9375,general
lacs,29,2,0.9355,0.9355,general
60,14,1,0.9333,0.9333,general
ft,14,1,0.9333,0.9333,general
luxury,14,1,0.9333,0.9333,general
settings,14,1,0.9333,0.9333,general
offer,108,8,0.931,0.931,general
2000,27,2,0.931,0.931,general
14,13,1,0.9286,0.9286,general
kare,13,1,0.9286,0.9286,general
phones,13,1,0.9286,0.9286,general
delivery,37,3,0.925,0.925,general
alert,12,1,0.9231,0.9231,general
congratulations,12,1,0.9231,0.9231,general
dp,12,1,0.9231,0.9231,general
dwarka,12,1,0.9231,0.9231,general
sakte,12,1,0.9231,0.9231,general
100,68,6,0.9189,0.9189,general
liye,67,6,0.9178,0.9178,general
recharge,99,9,0.9167,0.9167,general
cd,11,1,0.9167,0.9167,general
mts,11,1,0.9167,0.9167,general
unlimited,41,4,0.9111,0.9111,general
31,10,1,0.9091,0.9091,general
45,10,1,0.9091,0.9091,general
disc,10,1,0.9091,0.9091,general
members,10,1,0.9091,0.9091,general
presents,10,1,0.9091,0.9091,general
presnts,10,1,0.9091,0.9091,general
quiz,10,1,0.9091,0.9091,general
txts,10,1,0.9091,0.9091,general
landline,29,3,0.9062,0.9062,general
1000,38,4,0.9048,0.9048,general
txt,128,14,0.9014,0.9014,general
charges,27,3,0.9,0.9,general
02,9,0,1.0,0.9,general
06,9,0,1.0,0.9,general
0800,9,0,1.0,0.9,general
2000 prize guaranteed,9,0,1.0,0.9,general
2012,9,0,1.0,0.9,general
234,9,0,1.0,0.9,general
24 hours,9,0,1.0,0.9,general
30 din ke,9,0,1.0,0.9,general
350 award,9,0,1.0,0.9,general
53456,9,0,1.0,0.9,general
750 anytime,9,0,1.0,0.9,general
80,9,0,1.0,0.9,general
agni 9212255555,9,0,1.0,0.9,general
anytime network,9,0,1.0,0.9,general
anytime network mins,9,0,1.0,0.9,general
awaiting,9,0,1.0,0.9,general
awarded 500,9,0,1.0,0.9,general
bt national,9,0,1.0,0.9,general
bt national rate,9,0,1.0,0.9,general
call2optout,9,0,1.0,0.9,general
cash await,9,0,1.0,0.9,general
cash await collection,9,0,1.0,0.9,general
charity,9,0,1.0,0.9,general
customers,9,0,1.0,0.9,general
double mins,9,0,1.0,0.9,general
exp,9,0,1.0,0.9,general
fashion,9,0,1.0,0.9,general
free blyk,9,0,1.0,0.9,general
free blyk aircel,9,0,1.0,0.9,general
free text,9,0,1.0,0.9,general
greens,9,0,1.0,0.9,general
homes,9,0,1.0,0.9,general
investment,9,0,1.0,0.9,general
just txt,9,0,1.0,0.9,general
ka talktime 48,9,0,1.0,0.9,general
kazi,9,0,1.0,0.9,general
kazi road,9,0,1.0,0.9,general
line rental,9,0,1.0,0.9,general
matches,9,0,1.0,0.9,general
original booking,9,0,1.0,0.9,general
paras tierea,9,0,1.0,0.9,general
recharge karein,9,0,1.0,0.9,general
reveal,9,0,1.0,0.9,general
sae cs,9,0,1.0,0.9,general
savamob,9,0,1.0,0.9,general
scheme,9,0,1.0,0.9,general
sector,9,0,1.0,0.9,general
talktime 48,9,0,1.0,0.9,general
talktime 48 ghante,9,0,1.0,0.9,general
tell ur,9,0,1.0,0.9,general
text stop,9,0,1.0,0.9,general
tierea,9,0,1.0,0.9,general
ts cs,9,0,1.0,0.9,general
want new,9,0,1.0,0.9,general
wkly,9,0,1.0,0.9,general
won guaranteed,9,0,1.0,0.9,general
sec,52,6,0.8966,0.8966,general
click,17,2,0.8947,0.8947,general
todays,17,2,0.8947,0.8947,urgency
50,67,8,0.8933,0.8933,general
network,25,3,0.8929,0.8929,general
urgent,57,7,0.8906,0.8906,urgency
200,24,3,0.8889,0.8889,general
camera,24,3,0.8889,0.8889,general
pounds,16,2,0.8889,0.8889,general
statement,16,2,0.8889,0.8889,general
sms,294,38,0.8855,0.8855,general
mobile,175,23,0.8838,0.8838,general
2011,15,2,0.8824,0.8824,general
48,15,2,0.8824,0.8824,general
location,15,2,0.8824,0.8824,general
limited,22,3,0.88,0.88,general
receive,36,5,0.878,0.878,general
latest,35,5,0.875,0.875,general
rates,21,3,0.875,0.875,general
auction,14,2,0.875,0.875,general
earn,14,2,0.875,0.875,general
property,14,2,0.875,0.875,general
summer,14,2,0.875,0.875,general
ac,20,3,0.8696,0.8696,general
3g,13,2,0.8667,0.8667,general
caller,13,2,0.8667,0.8667,general
direct,13,2,0.8667,0.8667,general
gold,13,2,0.8667,0.8667,general
picture,13,2,0.8667,0.8667,general
tax,13,2,0.8667,0.8667,general
winter,13,2,0.8667,0.8667,general
draw,38,6,0.8636,0.8636,general
replies,38,6,0.8636,0.8636,general
160by2,19,3,0.8636,0.8636,general
belt,19,3,0.8636,0.8636,general
rs,239,38,0.8628,0.8628,general
15,44,7,0.8627,0.8627,general
po,25,4,0.8621,0.8621,general
price,49,8,0.8596,0.8596,general
40,18,3,0.8571,0.8571,general
final,18,3,0.8571,0.8571,general
har,18,3,0.8571,0.8571,general
13,12,2,0.8571,0.8571,general
access,12,2,0.8571,0.8571,general
center,12,2,0.8571,0.8571,general
mba,12,2,0.8571,0.8571,general
hrs,41,7,0.8542,0.8542,general
cash,69,12,0.8519,0.8519,general
visit,63,11,0.8514,0.8514,general
win,74,13,0.8506,0.8506,general
ph,17,3,0.85,0.85,general
flat,28,5,0.8485,0.8485,general
selected,22,4,0.8462,0.8462,general
comp,11,2,0.8462,0.8462,general
data,11,2,0.8462,0.8462,general
silver,11,2,0.8462,0.8462,general
tips,11,2,0.8462,0.8462,technical
onwards,16,3,0.8421,0.8421,general
store,16,3,0.8421,0.8421,general
shows,30,6,0.8333,0.8333,general
metro,25,5,0.8333,0.8333,general
mob,20,4,0.8333,0.8333,general
original,15,3,0.8333,0.8333,general
career,10,2,0.8333,0.8333,general
cricket,10,2,0.8333,0.8333,general
member,10,2,0.8333,0.8333,general
motorola,10,2,0.8333,0.8333,general
ms,10,2,0.8333,0.8333,general
free,407,83,0.8306,0.8306,general
internet,38,8,0.8261,0.8261,general
discount,19,4,0.8261,0.8261,general
delhi,37,8,0.8222,0.8222,general
orange,22,5,0.8148,0.8148,general
possession,13,3,0.8125,0.8125,general
upto,30,7,0.8108,0.8108,general
28,9,1,0.9,0.81,general
units,9,1,0.9,0.81,general
valued,9,1,0.9,0.81,general
com,149,35,0.8098,0.8098,general
season,17,4,0.8095,0.8095,general
tech,17,4,0.8095,0.8095,general
contact,73,18,0.8022,0.8022,general
match,20,5,0.8,0.8,general
colour,16,4,0.8,0.8,general
register,12,3,0.8,0.8,general
row,12,3,0.8,0.8,general
000 cash,8,0,1.0,0.8,general
03 2nd,8,0,1.0,0.8,general
03 2nd attempt,8,0,1.0,0.8,general
08712460324,8,0,1.0,0.8,general
10 tak,8,0,1.0,0.8,general
10am,8,0,1.0,0.8,general
24hrs know,8,0,1.0,0.8,urgency
2lands row w1j6hl,8,0,1.0,0.8,general
2nd attempt contact,8,0,1.0,0.8,general
30p,8,0,1.0,0.8,general
57333,8,0,1.0,0.8,general
58888,8,0,1.0,0.8,general
70,8,0,1.0,0.8,general
action,8,0,1.0,0.8,general
bid,8,0,1.0,0.8,general
bulk,8,0,1.0,0.8,general
combo,8,0,1.0,0.8,general
contact todays,8,0,1.0,0.8,urgency
contact todays draw,8,0,1.0,0.8,urgency
contact won,8,0,1.0,0.8,general
credits,8,0,1.0,0.8,financial
dial 234,8,0,1.0,0.8,general
don miss,8,0,1.0,0.8,general
door step,8,0,1.0,0.8,general
eco,8,0,1.0,0.8,general
gift vouchers,8,0,1.0,0.8,general
handset,8,0,1.0,0.8,general
hrs video free,8,0,1.0,0.8,general
inclusive,8,0,1.0,0.8,general
just text,8,0,1.0,0.8,general
ke liye manya,8,0,1.0,0.8,general
kensington,8,0,1.0,0.8,general
liye manya,8,0,1.0,0.8,general
local national,8,0,1.0,0.8,general
mobileupd8 08000839402,8,0,1.0,0.8,general
music 87066,8,0,1.0,0.8,general
new delhi,8,0,1.0,0.8,general
new nokia,8,0,1.0,0.8,general
new year,8,0,1.0,0.8,general
number awarded,8,0,1.0,0.8,general
paayein,8,0,1.0,0.8,general
polys,8,0,1.0,0.8,general
poore,8,0,1.0,0.8,general
price rs,8,0,1.0,0.8,general
ramprastha,8,0,1.0,0.8,general
reply 24hrs know,8,0,1.0,0.8,urgency
revising,8,0,1.0,0.8,general
row w1j6hl,8,0,1.0,0.8,general
rs2 min,8,0,1.0,0.8,general
rs50,8,0,1.0,0.8,general
sms day,8,0,1.0,0.8,general
specially,8,0,1.0,0.8,general
stop texts 08712460324,8,0,1.0,0.8,general
supertech,8,0,1.0,0.8,general
texts 08712460324,8,0,1.0,0.8,general
todays draw,8,0,1.0,0.8,urgency
todays draw shows,8,0,1.0,0.8,urgency
trying contact todays,8,0,1.0,0.8,urgency
urgent mobile number,8,0,1.0,0.8,urgency
video free,8,0,1.0,0.8,general
video free blyk,8,0,1.0,0.8,general
video phone,8,0,1.0,0.8,general
w1j6hl,8,0,1.0,0.8,general
want know,8,0,1.0,0.8,urgency
way2sms com,8,0,1.0,0.8,general
week just,8,0,1.0,0.8,general
wide,8,0,1.0,0.8,general
wk txt,8,0,1.0,0.8,general
world class,8,0,1.0,0.8,general
yes replies,8,0,1.0,0.8,general
yes replies blyk,8,0,1.0,0.8,general
box,27,7,0.7941,0.7941,general
aap,23,6,0.7931,0.7931,general
ke,99,26,0.792,0.792,general
info,19,5,0.7917,0.7917,general
points,15,4,0.7895,0.7895,general
brand,11,3,0.7857,0.7857,general
enter,11,3,0.7857,0.7857,general
jan,11,3,0.7857,0.7857,general
speed,11,3,0.7857,0.7857,general
village,11,3,0.7857,0.7857,general
holiday,40,11,0.7843,0.7843,general
update,18,5,0.7826,0.7826,general
area,21,6,0.7778,0.7778,general
dance,14,4,0.7778,0.7778,general
information,14,4,0.7778,0.7778,general
pack,14,4,0.7778,0.7778,general
hurry,24,7,0.7742,0.7742,general
reply,187,55,0.7727,0.7727,general
balance,27,8,0.7714,0.7714,general
300,10,3,0.7692,0.7692,general
inch,10,3,0.7692,0.7692,general
njoy,10,3,0.7692,0.7692,general
pl,10,3,0.7692,0.7692,general
resume,10,3,0.7692,0.7692,general
sports,10,3,0.7692,0.7692,general
loan,23,7,0.7667,0.7667,general
player,13,4,0.7647,0.7647,general
min,74,23,0.7629,0.7629,general
road,34,11,0.7556,0.7556,general
won,74,24,0.7551,0.7551,general
mein,40,13,0.7547,0.7547,general
customer,43,14,0.7544,0.7544,general
30,53,18,0.7465,0.7465,general
collect,20,7,0.7407,0.7407,general
details,57,20,0.7403,0.7403,general
choose,34,12,0.7391,0.7391,general
business,14,5,0.7368,0.7368,general
city,14,5,0.7368,0.7368,general
opportunity,14,5,0.7368,0.7368,general
space,14,5,0.7368,0.7368,general
welcome,14,5,0.7368,0.7368,general
75,9,2,0.8182,0.7364,general
activate,9,2,0.8182,0.7364,general
app,9,2,0.8182,0.7364,general
fully,9,2,0.8182,0.7364,general
invest,9,2,0.8182,0.7364,general
pc,9,2,0.8182,0.7364,general
star,9,2,0.8182,0.7364,general
tak,25,9,0.7353,0.7353,general
calls,36,13,0.7347,0.7347,general
00,11,4,0.7333,0.7333,general
27,11,4,0.7333,0.7333,general
return,19,7,0.7308,0.7308,general
20,27,10,0.7297,0.7297,general
order,27,10,0.7297,0.7297,general
par,51,19,0.7286,0.7286,general
2nd,24,9,0.7273,0.7273,general
wk,26,10,0.7222,0.7222,general
gift,36,14,0.72,0.72,general
download,30,12,0.7143,0.7143,general
low,10,4,0.7143,0.7143,general
7pm,8,1,0.8889,0.7111,general
del,8,1,0.8889,0.7111,general
england,8,1,0.8889,0.7111,general
max,8,1,0.8889,0.7111,general
mth,8,1,0.8889,0.7111,general
nh,8,1,0.8889,0.7111,general
non,8,1,0.8889,0.7111,general
options,8,1,0.8889,0.7111,general
user,8,1,0.8889,0.7111,general
chat,39,16,0.7091,0.7091,general
sale,12,5,0.7059,0.7059,general
25,19,8,0.7037,0.7037,general
stop,121,51,0.7035,0.7035,general
10,73,31,0.7019,0.7019,general
join,28,12,0.7,0.7,general
hot,21,9,0.7,0.7,general
000 bonus,7,0,1.0,0.7,general
000 bonus caller,7,0,1.0,0.7,general
08000839402 call2optout,7,0,1.0,0.7,general
10 000,7,0,1.0,0.7,general
100 weekly,7,0,1.0,0.7,general
1000 cash 2000,7,0,1.0,0.7,general
121 toll,7,0,1.0,0.7,general
121 toll free,7,0,1.0,0.7,general
1st week,7,0,1.0,0.7,general
2004,7,0,1.0,0.7,general
24 hrs know,7,0,1.0,0.7,urgency
25p,7,0,1.0,0.7,general
2bhk,7,0,1.0,0.7,general
3030,7,0,1.0,0.7,general
3030 valid,7,0,1.0,0.7,general
3030 valid 12hrs,7,0,1.0,0.7,general
321,7,0,1.0,0.7,general
400,7,0,1.0,0.7,general
500 cd,7,0,1.0,0.7,general
500 pounds,7,0,1.0,0.7,general
5000 cash,7,0,1.0,0.7,general
54,7,0,1.0,0.7,general
54545,7,0,1.0,0.7,general
56161,7,0,1.0,0.7,general
567,7,0,1.0,0.7,general
60p min,7,0,1.0,0.7,general
750 anytime network,7,0,1.0,0.7,general
87077,7,0,1.0,0.7,general
99,7,0,1.0,0.7,general
admirer,7,0,1.0,0.7,general
age16,7,0,1.0,0.7,general
amenities,7,0,1.0,0.7,general
arcade kazi,7,0,1.0,0.7,general
arcade kazi road,7,0,1.0,0.7,general
await collection sae,7,0,1.0,0.7,general
awarded 2000,7,0,1.0,0.7,general
awarded 500 cd,7,0,1.0,0.7,general
balance currently,7,0,1.0,0.7,general
balance currently 500,7,0,1.0,0.7,general
bhk flat,7,0,1.0,0.7,general
bluetooth,7,0,1.0,0.7,general
brand new,7,0,1.0,0.7,general
bulk sms,7,0,1.0,0.7,general
cash 2000,7,0,1.0,0.7,general
cash balance,7,0,1.0,0.7,general
cash balance currently,7,0,1.0,0.7,general
cash send,7,0,1.0,0.7,general
claim 3030,7,0,1.0,0.7,general
claim 3030 valid,7,0,1.0,0.7,general
claim easy,7,0,1.0,0.7,general
collection sae,7,0,1.0,0.7,general
collection sae cs,7,0,1.0,0.7,general
comuk,7,0,1.0,0.7,general
cs apply,7,0,1.0,0.7,general
cs www,7,0,1.0,0.7,general
currently 500,7,0,1.0,0.7,general
custcare,7,0,1.0,0.7,general
cyberjob,7,0,1.0,0.7,general
delivered,7,0,1.0,0.7,general
delivery tomorrow,7,0,1.0,0.7,general
digital,7,0,1.0,0.7,general
dirty picture,7,0,1.0,0.7,general
