text,label,feature_score,urgency_score,financial_score,authority_score,threat_score,technical_score,matched_phrases
england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16,1,17.4401,0.0,0.0,0.0,0.0,0.0,"national, land, 04, pobox, 16, 45, txt, 50, ac, po, 70, box, 20, england, 87077, new, team, news, al, dont miss"
is that seriously how you spell his name,0,1.6544,0.0,0.0,0.0,0.0,0.0,"pe, sp, se"
i m going to try for 2 months ha ha only joking,0,1.2949,0.0,0.0,0.0,0.0,0.0,"months, month, ki"
so pay first lar then when is da stock comin,0,3.3326,0.0,0.0,0.0,0.0,0.0,"rs, com, min, pay, stock"
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0,2.9913,0.0,0.0,0.0,0.0,0.0,"ft, mth, al, rd, ready"
ffffffffff alright no way i can meet up with you sooner,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,0,2.4875,0.0,0.0,0.0,0.0,0.0,"al, tt, se, real, mar, gr"
lol your always so convincing,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,0,3.1119,0.0,0.0,0.0,0.0,0.0,"ft, ke, din, fee, tc"
i m back amp we re packing the car now i ll let you know if there s room,0,1.9959,0.0,0.0,0.0,0.0,0.0,"ac, pack, ki"
ahhh work i vaguely remember that what does it feel like lol,0,2.1253,0.0,0.0,0.0,0.0,0.0,"member, ke, fee"
wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,0,2.2241,0.0,0.0,0.0,0.0,0.0,"live, ab, al, till"
yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we won t go there not doing too badly cheers you,0,6.6383,0.0,0.0,0.0,0.0,0.0,"ac, rs, po, ke, won, log, al, sp, till, aug"
k tell me anything about you,0,0.5652,0.0,0.0,0.0,0.0,0.0,ab
for fear of fainting with the of all that housework you just did quick have a cuppa,0,1.6042,0.0,0.0,0.0,0.0,0.0,"cup, al, se"
thanks for your subscription to ringtone uk your mobile will be charged 5 month please confirm by replying yes or no if you reply no you will not be charged,1,14.3146,0.0,0.0,0.0,0.0,1.3273,"tone, ringtone, charged, subscription, ur mob, ur mobile, uk, mobile, har, mob, reply, pl, charge, month, se, yes, sub, replying, ip, bil"
yup ok i go home look at the timings then i msg again xuhui going to learn on 2nd may too but her lesson is at 8am,0,3.5588,0.0,0.0,0.0,0.0,0.0,"earn, ms, min, 2nd, msg"
oops i ll let you know when my roommate s done,0,0.0,0.0,0.0,0.0,0.0,0.0,
i see the letter b on my car,0,0.9356,0.0,0.0,0.0,0.0,0.0,"tt, se"
anything lor u decide,0,0.0,0.0,0.0,0.0,0.0,0.0,
hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,0,2.9478,0.0,0.0,0.0,0.0,0.0,"just text, text, rd, se, ext, trying"
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0,5.129,0.0,0.0,0.0,0.0,0.0,"ts, ke, pl, ab, tt, weekend, week, end, gr"
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0,1.1107,0.0,0.0,0.0,0.0,0.0,"ab, al"
07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow,1,30.3025,0.0,0.0,0.0,0.0,0.0,"800, 08000930705, camcorder, ree, 08, 000, nokia, delivery, 0800, 80, sms, mobile, mob, ms, free, row, 70, reply, pl, 30"
who are you seeing,0,0.4433,0.0,0.0,0.0,0.0,0.0,se
great i hope you like your man well endowed i am lt gt inches,0,2.8555,0.0,0.0,0.0,0.0,0.0,"ke, inch, pe, end, gr"
no calls messages missed calls,0,3.3498,0.0,0.0,0.0,0.0,0.0,"calls, age, messages, al, se, message"
didn t you get hep b immunisation in nigeria,0,0.0,0.0,0.0,0.0,0.0,0.0,
fair enough anything going on,0,0.0,0.0,0.0,0.0,0.0,0.0,
yeah hopefully if tyler can t do it i could maybe ask around a bit,0,1.4031,0.0,0.0,0.0,0.0,0.0,"fully, pe"
u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,0,3.0647,0.0,0.0,0.0,0.0,0.0,"rs, ke, al, sp, mar"
what you thinked about me first time you saw me in class,0,2.22,0.0,0.0,0.0,0.0,0.0,"rs, ke, ab"
a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,0,5.4069,0.0,0.0,0.0,0.0,0.0,"ts, sec, eco, ke, al, se, mar, half, gr"
k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,0,3.7862,0.0,0.0,0.0,0.0,0.0,"lac, ac, row, pl, rid"
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,0,8.9522,0.0,0.0,0.0,0.0,0.0,"offer, ac, mba, com, ke, app, cc, ab, al, best, zed, se, ons, real"
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1,10.6601,0.0,0.0,0.0,0.0,0.0,"sms ac, sms, ac, rs, win, ms, ke, reply, pl, new, play, sp, tv, se, end"
do you know what mallika sherawat did yesterday find out now lt url gt,0,2.0874,0.0,0.0,0.0,0.0,0.0,"ka, al, rd, yes"
congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out,1,20.215,0.0,0.0,0.0,0.0,1.7273,"150p, 150, ree, 50p, ts, 06, 50, rs, 15, free, star, 20, pe, rs3, pm, al, sp, special, 12, dont miss"
sorry i ll call later in meeting,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
tell where you reached,0,0.8696,0.0,0.0,0.0,0.0,0.0,ac
yes gauti and sehwag out of odi series,0,0.8477,0.0,0.0,0.0,0.0,0.0,"se, yes"
your gonna have to pick up a 1 burger for yourself on your way home i can t even move pain is killing me,0,2.3421,0.0,0.0,0.0,0.0,0.0,"rs, pic, se, ki"
ha ha ha good joke girls are situation seekers,0,2.0981,0.0,0.0,0.0,0.0,0.0,"rs, ke, se"
its a part of checking iq,0,2.0771,0.0,0.0,0.0,0.0,0.0,"ts, par, ki"
sorry my roommates took forever it ok if i come by now,0,1.3916,0.0,0.0,0.0,0.0,0.0,"com, mates"
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,0,2.3246,0.0,0.0,0.0,0.0,0.0,"double, al, se, dr, ready"
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589,1,19.7891,0.0,0.0,0.0,0.0,0.0,"prize, awarded, bonus, 150, ur mob, award, 500, 45, 06, 50, 15, win, mob, valued, pl, customer, 00, low, al, 1500"
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0,4.4363,0.0,0.0,0.0,0.0,0.0,"rs, pl, ab, al, song, se, send, end"
urgent ur awarded a complimentary trip to eurodisinc trav aco entry41 or 1000 to claim txt dis to 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,1,23.3453,0.8906,0.0,0.0,0.0,0.6388,"claim, awarded, 121, ur awarded, complimentary, 18, 000, award, entry, 100, 1000, txt, 50, urgent, ac, rs, comp, mob, com, pl"
did you hear about the new divorce barbie it comes with all of ken s stuff,1,3.3707,0.0,0.0,0.0,0.0,0.0,"com, ke, new, ab, al"
i plane to give on this month end,0,1.5432,0.0,0.0,0.0,0.0,0.0,"pl, month, end"
wah lucky man then can save money hee,0,1.2203,0.0,0.0,0.0,0.0,0.0,"save, lucky"
finished class where are you,0,0.0,0.0,0.0,0.0,0.0,0.0,
hi babe im at home now wanna do something xx,0,0.5652,0.0,0.0,0.0,0.0,0.0,ab
k k where are you how did you performed,0,0.6667,0.0,0.0,0.0,0.0,0.0,pe
u can call me now,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
i am waiting machan call me once you free,0,3.5457,0.0,0.0,0.0,0.0,0.0,"ree, ac, free, al, acha"
thats cool i am a gentleman and will treat you with dignity and respect,0,2.2111,0.0,0.0,0.0,0.0,0.0,"ts, pe, sp"
i like you peoples very much but am very shy pa,0,2.2279,0.0,0.0,0.0,0.0,0.0,"ke, pl, pe"
does not operate after lt gt or what,0,2.5615,0.0,0.0,0.0,0.0,0.0,"rate, ft, pe"
its not the same here still looking for a job how much do ta s earn there,0,3.4557,0.0,0.0,0.0,0.0,0.0,"ts, earn, till, looking, ki, job"
sorry i ll call later,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
k did you call me just now ah,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
ok i am on the way to home hi hi,0,0.0,0.0,0.0,0.0,0.0,0.0,
you will be in the place of that man,0,2.5862,0.0,0.0,0.0,0.0,0.0,"lac, ac, pl"
yup next stop,0,1.0235,0.0,0.0,0.0,0.0,0.0,"stop, ext"
i call you later don t have network if urgnt sms me,0,3.7868,0.0,0.0,0.0,0.0,0.0,"network, sms, ms, net, al"
for real when u getting on yo i only need 2 more tickets and one more jacket and i m done i already used all my multis,0,5.7414,0.0,0.0,0.0,0.0,0.0,"ts, ac, ke, al, tickets, tt, se, real, ticket, ready"
yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,0,7.45,0.0,0.0,0.0,0.0,0.0,"ts, ac, cash, ke, star, double, al, tt, se, yes, send, end"
i m really not up to it still tonight babe,0,1.9754,0.0,0.0,0.0,0.0,0.0,"ab, al, till, real"
ela kano il download come wen ur free,0,3.9999,0.0,0.0,0.0,0.0,0.0,"ree, free, com, download, ka"
yeah do don t stand to close tho you ll catch something,0,0.7558,0.0,0.0,0.0,0.0,0.0,"se, tc"
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that sorry,0,3.6899,0.0,0.0,0.0,0.0,0.0,"ts, ft, pe, al, sp"
smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,0,6.0077,0.0,0.0,0.0,0.0,0.0,"ts, rs, po, eco, ke, pl, till, se"
please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed 1000 cash or 5000 prize,1,32.308,0.0,0.0,0.0,0.0,0.0,"prize, guaranteed, 5000, 800, 1000 cash, 03, customer service, guarantee, 08, 000, service, 500, 16, 60, 100, 31, 1000, 0800, 80, 50"
havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,0,3.9258,0.0,0.0,0.0,0.0,0.0,"ft, pl, 30, al, buy, ready, 53"
your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16,1,18.8149,0.0,0.0,0.0,0.0,0.0,"24, tone, ringtone, po box, ree, 50p, 85, 16, 45, 06, 50, po, free, box, pl, collect, 69, text, word, 17"
watching telugu movie wat abt u,0,1.5443,0.0,0.0,0.0,0.0,0.0,"ab, watch, movie, tc"
i see when we finish we have loads of loans to pay,0,2.1965,0.0,0.0,0.0,0.0,0.0,"loan, pay, se, loans"
hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,0,5.5058,0.0,0.0,0.0,0.0,0.0,"rs, po, app, wk, men, rd, se, dr, yes"
i see a cup of coffee animation,0,1.5587,0.0,0.0,0.0,0.0,0.0,"cup, fee, se"
please don t text me anymore i have nothing else to say,0,2.1224,0.0,0.0,0.0,0.0,0.0,"pl, text, se, ext"
okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,0,4.5711,0.0,0.0,0.0,0.0,0.0,"ts, price, ms, pic, ka, al"
i m still looking for a car to buy and have not gone 4the driving test yet,0,2.3231,0.0,0.0,0.0,0.0,0.0,"till, looking, dr, ki, buy, 4t"
wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,0,3.743,0.0,0.0,0.0,0.0,0.0,"location, age, men, till, se, loc, guess"
umma my life and vava umma love you lot dear,0,0.0,0.0,0.0,0.0,0.0,0.0,
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,0,0.9137,0.0,0.0,0.0,0.0,0.0,"ab, ki"
aight i ll hit you up when i get some cash,0,0.8519,0.0,0.0,0.0,0.0,0.0,cash
how would my ip address test that considering my computer isn t a minecraft server,0,5.2762,0.0,0.0,0.0,0.0,0.3273,"ft, comp, com, min, se, dr, ons, ip, computer"
i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,0,4.1282,0.0,0.0,0.0,0.0,0.0,"ke, pl, pe, play, al, tt, gr"
dont worry i guess he s busy,0,0.3167,0.0,0.0,0.0,0.0,0.0,guess
what is the plural of the noun research,0,1.758,0.0,0.0,0.0,0.0,0.0,"pl, al, se"
going for dinner msg you after,0,2.701,0.0,0.0,0.0,0.0,0.0,"ft, ms, din, msg"
i m ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,0,1.4502,0.0,0.0,0.0,0.0,0.0,"ke, new"
gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,1,39.1371,0.0,0.0,0.0,0.0,0.0,"claim, prize, 150p, guaranteed, valid, 150ppm, prize guaranteed, 121, 150, 12hrs, valid 12hrs, draw shows, 50p, guarantee, claim code, 000, code, 16, 60, 100"
wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened,0,4.4548,0.0,0.0,0.0,0.0,0.0,"app, pe, al, sp, special, tt, open, se"
as i entered my cabin my pa said happy b day boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,0,7.0011,0.0,0.0,0.0,0.0,0.0,"ft, enter, app, par, pe, ab, men, al, sp, special, entered"
you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18,1,27.3156,0.0,0.0,0.0,0.0,0.0,"claim, 10p, 10p min, 08, operator, ts, 18, 000, winner, 100, 1000, receive, win, selected, specially, holiday, min, 00, 27, 10"
goodo yes we must speak friday egg potato ratio for tortilla needed,0,3.3559,0.0,0.0,0.0,0.0,0.0,"po, pe, sp, till, yes, rid"
hmm my uncle just informed me that he s paying the school directly so pls buy food,0,3.3196,0.0,0.0,0.0,0.0,0.0,"direct, info, pl, pay, buy"
private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,1,32.8665,0.0,0.0,0.0,0.0,0.0,"claim, 24, bonus, expires, account statement, identifier, identifier code, 04, redeemed, 08, ts, 18, code, private, 45, 02, 80, exp, 200, statement"
urgent your mobile no was awarded 2000 bonus caller prize on 5 9 03 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,1,38.6468,0.8906,0.0,0.0,0.0,0.0,"prize, 150p, awarded, 150ppm, bonus, 150, land, 03, 50p, caller prize, 29, bonus caller, bonus caller prize, ur mob, ur mobile, 000, award, 2000, landline, 06"
here is my new address apples pairs all that malarky,0,4.9988,0.0,0.0,0.0,0.0,0.0,"appl, rs, pl, app, new, al, dr"
todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,40.1721,1.8947,0.0,0.0,0.0,0.0,"claim, 350, 04, 08, 123, claim code, award, rate, code, 02, 350 award, todays, 50, 48, receive, rates, rs, 40, selected, match"
i am going to sao mu today will be done only at 12,0,0.5385,0.0,0.0,0.0,0.0,0.0,12
predict wat time ll finish buying,0,0.6422,0.0,0.0,0.0,0.0,0.0,"buy, pre"
good stuff will do,0,0.0,0.0,0.0,0.0,0.0,0.0,
just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise,0,9.7644,0.0,0.0,0.0,0.0,0.0,"ts, lac, ac, rs, po, pl, ending, ldn, text, din, log, se, send, end, ext"
are you there in room,0,0.0,0.0,0.0,0.0,0.0,0.0,
hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,0,1.9233,0.0,0.0,0.0,0.0,0.0,"del, pe, al"
k k how much does it cost,0,0.6341,0.0,0.0,0.0,0.0,0.0,cost
i m home,0,0.0,0.0,0.0,0.0,0.0,0.0,
dear will call tmorrow pls accomodate,0,4.9774,0.0,0.0,0.0,0.0,0.0,"ac, com, row, pl, cc, date, al"
first answer my question,0,1.2557,0.0,0.0,0.0,0.0,0.0,"rs, answer"
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 1 50 sp tyrone,1,12.0234,0.0,0.0,0.0,0.0,0.0,"quiz, txt, wkly, 50, win, pl, player, 27, wk, play, al, sony, sp, 22, dvd, 82277, yr, sunshine"
want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uk s largest dogging network bt txting gravel to 69888 nt ec2a 31p msg 150p,1,25.2558,0.0,0.0,0.0,0.0,0.0,"150p, 150, 50p, ur mob, dogging, uk, 31, txt, 50, network, location, direct, 15, mob, ms, join, net, txting, 69, locations"
i only haf msn it s yijue hotmail com,0,2.6431,0.0,0.0,0.0,0.0,0.0,"ms, com, hot, hotmail com"
he is there you call and meet him,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
no no i will check all rooms befor activities,0,2.2484,0.0,0.0,0.0,0.0,0.0,"ac, ms, al"
you ll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network try again,1,12.9982,0.0,0.0,0.0,0.0,0.0,"ree, services, service, network, har, ms, free, chat, 99, age, net, 69, text, rd, se, yr, 88, msg, ext, 98"
got c i lazy to type i forgot in lect i saw a pouch but like not v nice,0,2.3208,0.0,0.0,0.0,0.0,0.0,"po, ke, pe"
k text me when you re on the way,0,0.9099,0.0,0.0,0.0,0.0,0.0,"text, ext"
sir waiting for your mail,0,0.0,0.0,0.0,0.0,0.0,0.0,
a swt thought nver get tired of doing little things 4 lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni8,0,6.3743,0.0,0.0,0.0,0.0,0.0,"ts, rs, par, pe, cup, cc, ab, tt, se, ons"
i know you are can you pls open the back,0,2.792,0.0,0.0,0.0,0.0,0.0,"ac, pl, pe, open"
yes see ya not on the dot,0,0.8477,0.0,0.0,0.0,0.0,0.0,"se, yes"
whats the staff name who is taking class for us,0,2.0838,0.0,0.0,0.0,0.0,0.0,"ts, tak, ki"
freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end,1,26.2826,0.0,0.0,0.0,0.0,0.0,"150p, 150, freemsg, ree, 50p, 08, reply stop, local, 06, 50, 15, ms, free, 70, reply, pl, 00, stop, 11, pe"
ummma will call after check in our life will begin from qatar so pls pray very hard,0,3.5974,0.0,0.0,0.0,0.0,0.0,"ft, har, pl, al, rd"
k i deleted my contact that why,0,2.3829,0.0,0.0,0.0,0.0,0.0,"ac, contact, del"
sindu got job in birla soft,0,1.2398,0.0,0.0,0.0,0.0,0.0,"ft, job"
the wine is flowing and i m i have nevering,0,1.5649,0.0,0.0,0.0,0.0,0.0,"win, low"
yup i thk cine is better cos no need 2 go down 2 plaza mah,0,1.2615,0.0,0.0,0.0,0.0,0.0,"pl, tt"
ok ur typical reply,0,2.7749,0.0,0.0,0.0,0.0,0.0,"reply, pl, pic, al"
you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,0,10.724,0.0,0.0,0.0,0.0,0.0,"ts, win, shows, com, eco, ke, low, pe, al, dream, tv, open, se, dr, world, guess, half, ist"
aaooooright are you at work,0,0.0,0.0,0.0,0.0,0.0,0.0,
i m leaving my house now,0,0.4433,0.0,0.0,0.0,0.0,0.0,se
hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,0,1.0489,0.0,0.0,0.0,0.0,0.0,"app, view"
customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery,1,14.3569,0.0,0.0,0.0,0.0,0.0,"04, customer service, service, delivery, rs, 70, new year, pl, customer, del, non, new, live, men, al, range, se, 07, years, year"
you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810,1,25.7338,0.0,0.0,0.0,0.0,0.0,"claim, 1000 cash, 08, operator, ts, 000, winner, 100, 1000, receive, cash, win, selected, 000 cash, specially, holiday, 00, 27, 10, live operator"
keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,0,3.3391,0.0,0.0,0.0,0.0,0.0,"rs, ke, al, se, real, ready"
new car and house for my parents i have only new job in hand,0,3.1366,0.0,0.0,0.0,0.0,0.0,"ts, par, new, se, job"
i m so in love with you i m excited each day i spend with you you make me so happy,0,3.9367,0.0,0.0,0.0,0.0,0.0,"ac, ke, app, pe, sp, end"
pls stop bootydelious 32 f is inviting you to be her friend reply yes 434 or no 434 see her www sms ac u bootydelious stop send stop frnd to 62468,1,18.2954,0.0,0.0,0.0,0.0,0.0,"24, send stop, sms ac, www, sms, ac, ms, reply, pl, del, stop, reply yes, 62468, stop send, stop send stop, 32, friend reply, friend reply yes, inviting, send stop frnd"
bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internet service menu,1,15.4956,0.0,0.0,0.0,0.0,0.0,"ur mob, ur mobile, wap, service, content, mobile, receive, mob, ms, internet, order, download, goto, net, ab, men, rd, tv, se, mobile internet"
i place all ur points on e cultures module already,0,6.0924,0.0,0.0,0.0,0.0,0.0,"ts, lac, ac, po, points, pl, al, ready"
urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs only,1,27.9592,0.8906,0.0,0.0,0.0,0.0,"claim, prize, guaranteed, valid, prize guaranteed, 12hrs, valid 12hrs, draw shows, guarantee, claim code, code, 06, urgent, ac, draw, rs, hrs, shows, contact, 70"
hi frnd which is best way to avoid missunderstding wit our beloved one s,0,2.9216,0.0,0.0,0.0,0.0,0.0,"std, rs, din, best"
great escape i fancy the bridge but needs her lager see you tomo,0,3.3553,0.0,0.0,0.0,0.0,0.0,"pe, age, fancy, se, rid, cape, gr"
yes it completely in out of form clark also utter waste,0,3.8674,0.0,0.0,0.0,0.0,0.0,"comp, com, pl, al, tt, yes"
sir i need axis bank account no and bank address,0,3.1792,0.0,0.6829,0.0,0.0,0.0,"ac, bank, account, cc, dr"
hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao,0,4.3427,0.0,0.0,0.0,0.0,0.0,"ree, disc, free, ab, al, rd"
what time you coming down later,0,1.5727,0.0,0.0,0.0,0.0,0.0,"com, min"
bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,0,2.768,0.0,0.0,0.0,0.0,0.0,"ts, sp, spanish, pan, mr"
well i m gonna finish my bath now have a good fine night,0,0.0,0.0,0.0,0.0,0.0,0.0,
let me know when you ve got the money so carlos can make the call,0,1.3375,0.0,0.0,0.0,0.0,0.0,"ke, al"
u still going to the mall,0,1.0238,0.0,0.0,0.0,0.0,0.0,"al, till"
turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,0,5.7688,0.0,0.0,0.0,0.0,0.0,"ree, ac, free, ke, won, worth, fee, end"
text her if she doesnt reply let me know so i can have her log in,0,3.0232,0.0,0.0,0.0,0.0,0.0,"reply, pl, text, log, ext"
hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,0,11.1895,0.0,0.0,0.0,0.0,0.0,"toll free, ree, toll, exp, po, free, ke, reply, pl, pe, sf, experience, sp, xperience, yes"
